FID,brand,name,place_id,latitude,longitude,FID_2,State,Parliament,DUN,night,pop_d,family_inc,family_out
0,99 Speedmart,99 Speedmart 2167 (JH) Taman Molek,ChIJ8TLFuS5t2jER389Xg-qBDHs,1.528385,103.7929195,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
1,99 Speedmart,99 Speedmart 2163 (JH) Plentong,ChIJ3VTNEoht2jERXCKjSLmJEi0,1.5224585,103.8132539,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
3,99 Speedmart,99 Speedmart 2382 (JH) Taman Johor Jaya,ChIJV9Ow3Ltt2jERU4wzyiqqZvk,1.5378128,103.8101011,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
10,99 Speedmart,99 Speedmart 2534 (JH) Taman Johor Jaya 2,ChIJ0-Hl4z9t2jERO7zeZx5SjJM,1.539972,103.8059339,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
12,99 Speedmart,99 Speedmart 2887 (JH) Taman Molek 2,ChIJn402RtVt2jERcpzl-kQ9_do,1.5218631,103.7864351,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
15,99 Speedmart,99 Speedmart 2844 (JH) Taman Johor Jaya 5,ChIJpX9-QvZt2jER07UAEcZtVEQ,1.5321395,103.8094627,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
20,KK Super Mart,"KK Super Mart Johor, Taman Johor Jaya (JJJY)",ChIJQb0IbSlt2jERK3ko50kp4Is,1.5401116,103.806088,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
23,99 Speedmart,99 Speedmart 2777 (JH) Taman Johor Jaya 3,ChIJ7XJBhFVt2jERGxnSIQUfAcg,1.5442607,103.7951571,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
40,99 Speedmart,99 Speedmart 3258 (JH) Taman Johor Jaya 6,ChIJ-wgSzxRt2jERhvpGEwTwtp8,1.5344827,103.793081,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
47,99 Speedmart,99 Speedmart 3071 (JH) Taman Sri Amar,ChIJtRs_4ght2jERRQ8l6x1gaL8,1.5168964,103.762705,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
52,99 Speedmart,99 Speedmart 2814 (JH) Taman Johor Jaya 4,ChIJ6dbqTsFt2jER5xcLmdNxUWQ,1.5445289,103.8044874,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
53,99 Speedmart,99 Speedmart 3101 (JH) Taman Desa Harmoni,ChIJHZdL-H9t2jERQjFu_yWyTtM,1.5195836,103.7964105,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
54,99 Speedmart,99 Speedmart 2730 (JH) Molek Ria,ChIJTXvAxZht2jER43hF27CFzhU,1.515677,103.790387,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
63,99 Speedmart,99 Speedmart 2825 (JH) Taman Ria Plentong,ChIJe0NDw_1r2jERr8bNPe8RJaE,1.5195921,103.8248439,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
66,99 Speedmart,99 Speedmart 2632 (JH) Bandar Seri Alam 3,ChIJ8WlfnI5r2jERGLwzlQVRGx4,1.5076347,103.8607197,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
117,99 Speedmart,99 Speedmart 2194 (JH) Bandar Seri Alam,ChIJF536iaNr2jERgq3bJ4GYeaM,1.5085005,103.8682861,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
217,KK Super Mart,"KK Super Mart Johor, Taman Johor Jaya (3) ( JJY3)",ChIJgZJ4cHlt2jERJAQIKL7sCFM,1.5425616,103.7937721,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
219,KK Super Mart,"KK Super Mart Johor, Taman Johor Jaya (2) (JJY2)",ChIJlZXink1t2jERHKLAb2QARpw,1.5365487,103.810877,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
241,KK Super Mart,"KK Super Mart Johor, Masai, Seri Alam ( JMSA )",ChIJ1XgEpCJr2jERprxpziyNgEM,1.5089696,103.8669115,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
255,KK Super Mart,"KK Super Mart Johor, Masai Seri Alam (2) ( JMA2 )",ChIJ-bplh71r2jERAGGseJb5Ml8,1.49344,103.874589,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
276,7-Eleven,7-Eleven,ChIJD0dAXVBs2jERnu0vJm5eLZA,1.522289,103.785321,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
283,Family Mart,FamilyMart Johor Jaya,ChIJVY8yJtlt2jERb0vo6nhcFAw,1.5404758,103.8045111,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
284,Family Mart,FamilyMart Taman Molek,ChIJX70iEiht2jERkFXMS35XpjQ,1.5225334,103.7853192,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
311,Family Mart,FamilyMart Gravity Green,ChIJh6fdYsdr2jERHe5cbc7-4XY,1.4962035,103.8728633,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
336,7-Eleven,7-Eleven,ChIJrdB5bERs2jER79IohKai104,1.527309,103.791584,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
348,7-Eleven,7CAF??? by 7-Eleven Dedap Johor Bahru Johor (#204),ChIJbzHmkg1s2jERLs9b6h1EcwM,1.5419495,103.8032771,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
351,7-Eleven,7-Eleven,ChIJpYhadT9s2jER4irxKwLqfZ4,1.534668,103.79548,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
362,7-Eleven,7-Eleven,ChIJN9erHnNs2jER034CK3zejic,1.5318608,103.8131975,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
369,7-Eleven,7-Eleven,ChIJET8OU9Rt2jERD_Xq0Sl9vd8,1.5303658,103.7920644,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
370,7-Eleven,7-Eleven,ChIJoWQL3F1s2jER6qlhva6VY1g,1.519703,103.7966529,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
374,7-Eleven,7-Eleven,ChIJk-Tvjg1s2jER0VCGAKopnho,1.536507,103.8105353,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
389,7-Eleven,7-Eleven,ChIJzwTqDgJr2jER2P9bWItMB04,1.5087434,103.8676167,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
392,7-Eleven,7-Eleven,ChIJ_WYxVOdq2jERyuR7Pa6dFpo,1.4944015,103.8743404,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
465,7-Eleven,7-Eleven,ChIJk2ATq_xq2jERXK-tAHVsKmI,1.5048398,103.8734119,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
515,MyNews,myNEWS (Maru Kafe) @ Taman Molek JB,ChIJt_g-hvht2jERDwub-cy_mO8,1.5250148,103.7869622,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
517,MyNews,myNEWS @ Giant Plentong (G Floor),ChIJAVuFXHFs2jERXAhnXL1Uk84,1.5273425,103.8154845,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
533,MyNews,myNEWS @ Bandar Seri Alam,ChIJrz21XrVr2jER_ix9M0-B168,1.5049877,103.8733596,0,JOHOR,PASIR GUDANG,JOHOR JAYA,22.1,2011.5,7142,4605
2,99 Speedmart,99 Speedmart 2281 (JH) Taman Daya 2,ChIJG3sZ4qVt2jER3ingkRWKIUY,1.5405578,103.7656412,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
4,99 Speedmart,99 Speedmart 2223 (JH) Taman Mount Austin,ChIJr5kYuFtt2jERj0AnjO2yNVc,1.5503321,103.7844612,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
5,99 Speedmart,99 Speedmart 2833 (JH) Taman Desa Tebrau 2,ChIJ9de04dNv2jERDKvAXRfSDCc,1.5539195,103.7956174,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
7,99 Speedmart,99 Speedmart 2360 (JH) Taman Adda 1,ChIJ36WclRtv2jERc2Xo1fLW9ZY,1.564025,103.7524823,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
8,99 Speedmart,99 Speedmart 3087 (JH) Bandar Dato Onn 2,ChIJ62UD7nVv2jERhhMHDrUzLHM,1.5681893,103.7429584,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
11,99 Speedmart,99 Speedmart 2873 (JH) Bandar Dato Onn,ChIJiYe9Ay5v2jERkeOJXS0stMg,1.5582765,103.7390867,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
13,99 Speedmart,99 Speedmart 3155 Taman Daya 5,ChIJST_208Nt2jER0sDmwuELgZ4,1.545215,103.7652282,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
16,99 Speedmart,99 Speedmart 2783 (JH) Taman Setia Indah 3,ChIJg3qpksFv2jERwIGHJkaiLts,1.5739801,103.766968,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
17,99 Speedmart,99 Speedmart 2562 (JH) Taman Mount Austin 2,ChIJJS4rFdtv2jERUamtwkUk8WM,1.5579181,103.7800615,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
18,99 Speedmart,99 Speedmart 2874 (JH) Taman Desa Tebrau 3,ChIJ7_7CShdv2jERDAseOlxVlQg,1.55474,103.7895704,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
19,99 Speedmart,99 Speedmart 2918 (JH) Taman Adda 2,ChIJGctBuGZt2jERBg49UJ8oEyQ,1.5470257,103.749506,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
21,99 Speedmart,99 Speedmart 2975 (JH) Taman Setia Eco Cascadia,ChIJcyB73O1v2jER2AL4qj5jXq0,1.5815474,103.7598251,1,JOHOR,TEBRAU,PUTERI WANGSA,21.7,1712,8235,6071
