number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_R,user_attrs_R,user_attrs_alpha,user_attrs_beta,user_attrs_community_distinction,user_attrs_gamma,user_attrs_ifr,user_attrs_inequality,user_attrs_modularity,user_attrs_n_comm,system_attrs_NSGAIISampler:generation,state
0,0.7449532335390581,0.8450366245451344,0.1582631398014564,0.9092561658893562,2025-11-21 04:54:17.210594,2025-11-21 04:54:17.564706,0 days 00:00:00.354112,5.432671247897306,5.432671247897306,0.33140155391138393,0.4595044337824462,0.1582631398014564,0.20909401230616967,0.9092561658893562,0.15496337545486566,0.7449532335390581,7,0,COMPLETE
1,0.4765456732401222,0.0,0.0,0.0,2025-11-21 04:54:17.565705,2025-11-21 04:54:17.914387,0 days 00:00:00.348682,11.48250021730412,11.48250021730412,0.16046712971248622,0.26796560175772255,0.0,0.5715672685297911,0.0,1.0,0.4765456732401222,2,0,COMPLETE
2,0.5316560700921578,0.6312963223087313,0.04756662567205772,0.9534516197553866,2025-11-21 04:54:17.915388,2025-11-21 04:54:18.248640,0 days 00:00:00.333252,9.185936389019753,9.185936389019753,0.12156686297747553,0.38874111914849463,0.04756662567205772,0.4896920178740297,0.9534516197553866,0.3687036776912687,0.5316560700921578,3,0,COMPLETE
3,0.635080252162824,0.7126236512834857,0.093494558305548,0.9508869897681561,2025-11-21 04:54:18.249645,2025-11-21 04:54:18.583676,0 days 00:00:00.334031,7.785914084068884,7.785914084068884,0.2844680412052958,0.44915392300384505,0.093494558305548,0.2663780357908593,0.9508869897681561,0.2873763487165143,0.635080252162824,4,0,COMPLETE
4,0.7783922241616086,0.9081494847751703,0.22142380641321208,0.8690897694817217,2025-11-21 04:54:18.585428,2025-11-21 04:54:18.940057,0 days 00:00:00.354629,3.138195724645583,3.138195724645583,0.21252346596080213,0.39798784568942125,0.22142380641321208,0.38948868834977657,0.8690897694817217,0.09185051522482969,0.7783922241616086,12,0,COMPLETE
5,0.7682869268370952,0.827163411774647,0.264437171426341,0.8895642116692102,2025-11-21 04:54:18.941057,2025-11-21 04:54:19.295286,0 days 00:00:00.354229,3.137942463530128,3.137942463530128,0.5662173421448552,0.29089022512951584,0.264437171426341,0.14289243272562893,0.8895642116692102,0.17283658822535294,0.7682869268370952,11,0,COMPLETE
6,0.7756701397110162,0.8840304182509506,0.2597538730654645,0.8567194937644478,2025-11-21 04:54:19.296526,2025-11-21 04:54:19.653088,0 days 00:00:00.356562,2.109877927766094,2.109877927766094,0.6154649114221706,0.13590704930071162,0.2597538730654645,0.24862803927711782,0.8567194937644478,0.11596958174904942,0.7756701397110162,15,0,COMPLETE
7,0.4772049997530675,0.0,0.0,0.0,2025-11-21 04:54:19.654096,2025-11-21 04:54:19.986938,0 days 00:00:00.332842,10.59484953063682,10.59484953063682,0.517135431616293,0.2420285069491861,0.0,0.2408360614345207,0.0,1.0,0.4772049997530675,2,0,COMPLETE
8,0.47556577419830237,0.0,0.0,0.0,2025-11-21 04:54:19.987938,2025-11-21 04:54:20.322874,0 days 00:00:00.334936,7.811707623303692,7.811707623303692,0.27586555855083905,0.10241864518978198,0.0,0.621715796259379,0.0,1.0,0.47556577419830237,2,0,COMPLETE
9,0.43974451607522924,0.4613326624509796,0.08776562563654884,0.9733279088466026,2025-11-21 04:54:20.323874,2025-11-21 04:54:20.662661,0 days 00:00:00.338787,8.934762066858479,8.934762066858479,0.40816144196899173,0.39908506981664793,0.08776562563654884,0.1927534882143604,0.9733279088466026,0.5386673375490204,0.43974451607522924,3,0,COMPLETE
