node1,node2,node1_brand,node2_brand,brand_distance
0,29,99 Speedmart,7-Eleven,1.0
0,24,99 Speedmart,7-Eleven,1.0
0,28,99 Speedmart,7-Eleven,1.0
0,26,99 Speedmart,7-Eleven,1.0
0,5,99 Speedmart,99 Speedmart,0.5
1,35,99 Speedmart,MyNews,1.0
1,13,99 Speedmart,99 Speedmart,0.5
1,286,99 Speedmart,99 Speedmart,0.5
1,29,99 Speedmart,7-Eleven,1.0
1,5,99 Speedmart,99 Speedmart,0.5
2,243,99 Speedmart,99 Speedmart,0.5
2,6,99 Speedmart,KK Super Mart,1.0
2,3,99 Speedmart,99 Speedmart,0.5
2,17,99 Speedmart,KK Super Mart,1.0
2,30,99 Speedmart,7-Eleven,1.0
3,6,99 Speedmart,KK Super Mart,1.0
3,21,99 Speedmart,Family Mart,1.0
3,5,99 Speedmart,99 Speedmart,0.5
3,30,99 Speedmart,7-Eleven,1.0
4,11,99 Speedmart,99 Speedmart,0.5
4,24,99 Speedmart,7-Eleven,1.0
4,34,99 Speedmart,MyNews,1.0
4,12,99 Speedmart,99 Speedmart,0.5
4,20,99 Speedmart,7-Eleven,1.0
4,22,99 Speedmart,Family Mart,1.0
5,26,99 Speedmart,7-Eleven,1.0
5,29,99 Speedmart,7-Eleven,1.0
5,35,99 Speedmart,MyNews,1.0
5,27,99 Speedmart,7-Eleven,1.0
5,21,99 Speedmart,Family Mart,1.0
5,17,99 Speedmart,KK Super Mart,1.0
5,30,99 Speedmart,7-Eleven,1.0
6,243,KK Super Mart,99 Speedmart,1.0
6,21,KK Super Mart,Family Mart,1.0
6,10,KK Super Mart,99 Speedmart,1.0
7,16,99 Speedmart,KK Super Mart,1.0
7,56,99 Speedmart,99 Speedmart,0.5
7,25,99 Speedmart,7-Eleven,1.0
7,10,99 Speedmart,99 Speedmart,0.5
7,131,99 Speedmart,MyNews,1.0
7,134,99 Speedmart,MyNews,1.0
8,56,99 Speedmart,99 Speedmart,0.5
8,59,99 Speedmart,99 Speedmart,0.5
8,34,99 Speedmart,MyNews,1.0
8,16,99 Speedmart,KK Super Mart,1.0
8,26,99 Speedmart,7-Eleven,1.0
8,28,99 Speedmart,7-Eleven,1.0
9,143,99 Speedmart,99 Speedmart,0.5
9,361,99 Speedmart,7-Eleven,1.0
9,339,99 Speedmart,99 Speedmart,0.5
9,50,99 Speedmart,99 Speedmart,0.5
9,91,99 Speedmart,Family Mart,1.0
9,81,99 Speedmart,KK Super Mart,1.0
9,20,99 Speedmart,7-Eleven,1.0
9,152,99 Speedmart,Family Mart,1.0
10,243,99 Speedmart,99 Speedmart,0.5
10,21,99 Speedmart,Family Mart,1.0
10,25,99 Speedmart,7-Eleven,1.0
