node1,node2,node1_brand,node2_brand,ecc
0,29,99 Speedmart,7-Eleven,0.75
0,24,99 Speedmart,7-Eleven,0.75
0,28,99 Speedmart,7-Eleven,0.75
0,26,99 Speedmart,7-Eleven,0.75
0,5,99 Speedmart,99 Speedmart,0.75
1,35,99 Speedmart,MyNews,0.75
1,13,99 Speedmart,99 Speedmart,0.75
1,286,99 Speedmart,99 Speedmart,0.75
1,29,99 Speedmart,7-Eleven,0.75
1,5,99 Speedmart,99 Speedmart,0.75
2,243,99 Speedmart,99 Speedmart,0.75
2,6,99 Speedmart,KK Super Mart,0.75
2,3,99 Speedmart,99 Speedmart,0.75
2,17,99 Speedmart,KK Super Mart,0.75
2,30,99 Speedmart,7-Eleven,1.0
3,6,99 Speedmart,KK Super Mart,0.75
3,21,99 Speedmart,Family Mart,0.75
3,5,99 Speedmart,99 Speedmart,0.75
3,30,99 Speedmart,7-Eleven,1.0
4,11,99 Speedmart,99 Speedmart,0.75
4,24,99 Speedmart,7-Eleven,0.6
4,34,99 Speedmart,MyNews,0.6
4,12,99 Speedmart,99 Speedmart,0.6
4,20,99 Speedmart,7-Eleven,0.6
4,22,99 Speedmart,Family Mart,1.0
5,26,99 Speedmart,7-Eleven,0.5
5,29,99 Speedmart,7-Eleven,0.5
5,35,99 Speedmart,MyNews,0.75
5,27,99 Speedmart,7-Eleven,0.6
5,21,99 Speedmart,Family Mart,0.6
5,17,99 Speedmart,KK Super Mart,0.75
5,30,99 Speedmart,7-Eleven,1.0
6,243,KK Super Mart,99 Speedmart,0.75
6,21,KK Super Mart,Family Mart,0.75
6,10,KK Super Mart,99 Speedmart,0.75
7,16,99 Speedmart,KK Super Mart,0.75
7,56,99 Speedmart,99 Speedmart,0.6
7,25,99 Speedmart,7-Eleven,0.75
7,10,99 Speedmart,99 Speedmart,0.6
7,131,99 Speedmart,MyNews,0.6
7,134,99 Speedmart,MyNews,0.6
8,56,99 Speedmart,99 Speedmart,0.6
8,59,99 Speedmart,99 Speedmart,0.6
8,34,99 Speedmart,MyNews,0.6
8,16,99 Speedmart,KK Super Mart,0.75
8,26,99 Speedmart,7-Eleven,0.6
8,28,99 Speedmart,7-Eleven,0.75
9,143,99 Speedmart,99 Speedmart,0.6
9,361,99 Speedmart,7-Eleven,0.75
9,339,99 Speedmart,99 Speedmart,0.42857142857142855
9,50,99 Speedmart,99 Speedmart,1.0
9,91,99 Speedmart,Family Mart,0.5
9,81,99 Speedmart,KK Super Mart,0.5
9,20,99 Speedmart,7-Eleven,0.6
9,152,99 Speedmart,Family Mart,0.5
10,243,99 Speedmart,99 Speedmart,0.5
10,21,99 Speedmart,Family Mart,0.6
10,25,99 Speedmart,7-Eleven,0.75
10,261,99 Speedmart,KK Super Mart,0.6
10,240,99 Speedmart,99 Speedmart,0.5
10,134,99 Speedmart,MyNews,0.6
10,132,99 Speedmart,MyNews,0.5
11,24,99 Speedmart,7-Eleven,0.75
11,12,99 Speedmart,99 Speedmart,0.75
11,324,99 Speedmart,7-Eleven,0.75
11,29,99 Speedmart,7-Eleven,0.75
12,155,99 Speedmart,7-Eleven,0.5
12,324,99 Speedmart,7-Eleven,0.5
12,20,99 Speedmart,7-Eleven,0.6
12,152,99 Speedmart,Family Mart,0.5
12,169,99 Speedmart,CU,1.0
13,289,99 Speedmart,99 Speedmart,0.6
13,331,99 Speedmart,7-Eleven,0.5
13,35,99 Speedmart,MyNews,0.75
13,245,99 Speedmart,99 Speedmart,0.3333333333333333
13,14,99 Speedmart,99 Speedmart,0.3333333333333333
13,286,99 Speedmart,99 Speedmart,0.5
14,301,99 Speedmart,99 Speedmart,0.5
14,289,99 Speedmart,99 Speedmart,0.6
14,31,99 Speedmart,7-Eleven,1.0
14,18,99 Speedmart,KK Super Mart,1.0
14,15,99 Speedmart,99 Speedmart,0.6
14,23,99 Speedmart,Family Mart,0.5
15,306,99 Speedmart,99 Speedmart,0.4
15,31,99 Speedmart,7-Eleven,1.0
15,36,99 Speedmart,MyNews,1.0
15,23,99 Speedmart,Family Mart,0.6
15,33,99 Speedmart,7-Eleven,1.0
16,56,KK Super Mart,99 Speedmart,0.75
16,26,KK Super Mart,7-Eleven,0.75
16,25,KK Super Mart,7-Eleven,0.75
17,27,KK Super Mart,7-Eleven,0.75
17,243,KK Super Mart,99 Speedmart,0.75
17,30,KK Super Mart,7-Eleven,1.0
18,31,KK Super Mart,7-Eleven,1.0
19,298,KK Super Mart,99 Speedmart,0.6
19,326,KK Super Mart,7-Eleven,0.6
19,300,KK Super Mart,99 Speedmart,0.6
19,325,KK Super Mart,7-Eleven,0.75
19,292,KK Super Mart,99 Speedmart,0.6
19,32,KK Super Mart,7-Eleven,1.0
20,22,7-Eleven,Family Mart,1.0
20,81,7-Eleven,KK Super Mart,0.6
20,152,7-Eleven,Family Mart,0.6
21,25,Family Mart,7-Eleven,0.75
21,26,Family Mart,7-Eleven,0.6
22,34,Family Mart,MyNews,1.0
22,81,Family Mart,KK Super Mart,1.0
23,301,Family Mart,99 Speedmart,0.5
23,292,Family Mart,99 Speedmart,0.6
23,33,Family Mart,7-Eleven,1.0
23,326,Family Mart,7-Eleven,0.5
23,32,Family Mart,7-Eleven,1.0
24,34,7-Eleven,MyNews,0.6
24,29,7-Eleven,7-Eleven,0.6
24,28,7-Eleven,7-Eleven,0.75
25,26,7-Eleven,7-Eleven,0.75
26,28,7-Eleven,7-Eleven,0.75
27,35,7-Eleven,MyNews,0.75
27,245,7-Eleven,99 Speedmart,0.6
27,271,7-Eleven,7-Eleven,1.0
27,243,7-Eleven,99 Speedmart,0.6
28,34,7-Eleven,MyNews,0.75
29,286,7-Eleven,99 Speedmart,0.5
29,324,7-Eleven,7-Eleven,0.5
32,326,7-Eleven,7-Eleven,1.0
32,292,7-Eleven,99 Speedmart,1.0
33,36,7-Eleven,MyNews,1.0
33,326,7-Eleven,7-Eleven,1.0
34,59,MyNews,99 Speedmart,0.5
34,81,MyNews,KK Super Mart,0.5
35,245,MyNews,99 Speedmart,0.75
36,326,MyNews,7-Eleven,1.0
36,306,MyNews,99 Speedmart,1.0
37,91,99 Speedmart,Family Mart,0.6
37,64,99 Speedmart,99 Speedmart,0.6
37,81,99 Speedmart,KK Super Mart,0.6
37,59,99 Speedmart,99 Speedmart,0.6
37,120,99 Speedmart,7-Eleven,1.0
37,43,99 Speedmart,99 Speedmart,0.6
38,115,99 Speedmart,7-Eleven,0.75
38,129,99 Speedmart,7-Eleven,0.75
38,113,99 Speedmart,7-Eleven,0.75
38,46,99 Speedmart,99 Speedmart,0.75
38,83,99 Speedmart,KK Super Mart,0.75
39,134,99 Speedmart,MyNews,0.6
39,131,99 Speedmart,MyNews,0.6
39,83,99 Speedmart,KK Super Mart,0.6
39,92,99 Speedmart,Family Mart,1.0
39,123,99 Speedmart,7-Eleven,0.75
39,142,99 Speedmart,CU,1.0
40,119,99 Speedmart,7-Eleven,0.42857142857142855
40,42,99 Speedmart,99 Speedmart,0.6
40,79,99 Speedmart,KK Super Mart,0.6666666666666666
40,107,99 Speedmart,7-Eleven,0.6
40,95,99 Speedmart,7-Eleven,0.375
40,86,99 Speedmart,Family Mart,0.75
40,133,99 Speedmart,MyNews,0.6
40,60,99 Speedmart,99 Speedmart,1.0
40,41,99 Speedmart,99 Speedmart,0.75
40,122,99 Speedmart,7-Eleven,1.0
41,42,99 Speedmart,99 Speedmart,0.75
41,138,99 Speedmart,MyNews,0.75
41,84,99 Speedmart,KK Super Mart,1.0
41,107,99 Speedmart,7-Eleven,0.75
42,118,99 Speedmart,7-Eleven,0.75
42,117,99 Speedmart,7-Eleven,0.6
42,119,99 Speedmart,7-Eleven,0.6
42,138,99 Speedmart,MyNews,0.6
43,59,99 Speedmart,99 Speedmart,0.6
43,120,99 Speedmart,7-Eleven,1.0
43,55,99 Speedmart,99 Speedmart,0.6
43,45,99 Speedmart,99 Speedmart,0.6
43,100,99 Speedmart,7-Eleven,0.6
44,105,99 Speedmart,7-Eleven,0.75
44,125,99 Speedmart,7-Eleven,0.75
44,61,99 Speedmart,99 Speedmart,0.75
44,104,99 Speedmart,7-Eleven,0.75
44,48,99 Speedmart,99 Speedmart,0.75
45,129,99 Speedmart,7-Eleven,0.75
45,59,99 Speedmart,99 Speedmart,0.42857142857142855
45,113,99 Speedmart,7-Eleven,0.6
45,89,99 Speedmart,Family Mart,0.75
45,141,99 Speedmart,CU,0.75
45,102,99 Speedmart,7-Eleven,1.0
45,100,99 Speedmart,7-Eleven,0.42857142857142855
46,113,99 Speedmart,7-Eleven,0.75
46,136,99 Speedmart,MyNews,0.75
46,106,99 Speedmart,7-Eleven,1.0
46,83,99 Speedmart,KK Super Mart,0.75
47,90,99 Speedmart,Family Mart,0.75
47,78,99 Speedmart,KK Super Mart,0.75
47,119,99 Speedmart,7-Eleven,0.75
