node1,node2,node1_region,node2_region,socioeconomic_distance_pca
0,29,JOHOR JAYA,JOHOR JAYA,0.0
0,24,JOHOR JAYA,JOHOR JAYA,0.0
0,28,JOHOR JAYA,JOHOR JAYA,0.0
0,26,JOHOR JAYA,JOHOR JAYA,0.0
0,5,JOHOR JAYA,JOHOR JAYA,0.0
1,35,JOHOR JAYA,JOHOR JAYA,0.0
1,13,JOHOR JAYA,JOHOR JAYA,0.0
1,286,JOHOR JAYA,PERMAS,0.6275575689546616
1,29,JOHOR JAYA,JOHOR JAYA,0.0
1,5,JOHOR JAYA,JOHOR JAYA,0.0
2,243,JOHOR JAYA,TIRAM,0.32922015070119914
2,6,JOHOR JAYA,JOHOR JAYA,0.0
2,3,JOHOR JAYA,JOHOR JAYA,0.0
2,17,JOHOR JAYA,JOHOR JAYA,0.0
2,30,JOHOR JAYA,JOHOR JAYA,0.0
3,6,JOHOR JAYA,JOHOR JAYA,0.0
3,21,JOHOR JAYA,JOHOR JAYA,0.0
3,5,JOHOR JAYA,JOHOR JAYA,0.0
3,30,JOHOR JAYA,JOHOR JAYA,0.0
4,11,JOHOR JAYA,JOHOR JAYA,0.0
4,24,JOHOR JAYA,JOHOR JAYA,0.0
4,34,JOHOR JAYA,JOHOR JAYA,0.0
4,12,JOHOR JAYA,JOHOR JAYA,0.0
4,20,JOHOR JAYA,JOHOR JAYA,0.0
4,22,JOHOR JAYA,JOHOR JAYA,0.0
5,26,JOHOR JAYA,JOHOR JAYA,0.0
5,29,JOHOR JAYA,JOHOR JAYA,0.0
5,35,JOHOR JAYA,JOHOR JAYA,0.0
5,27,JOHOR JAYA,JOHOR JAYA,0.0
5,21,JOHOR JAYA,JOHOR JAYA,0.0
5,17,JOHOR JAYA,JOHOR JAYA,0.0
5,30,JOHOR JAYA,JOHOR JAYA,0.0
6,243,JOHOR JAYA,TIRAM,0.32922015070119914
6,21,JOHOR JAYA,JOHOR JAYA,0.0
6,10,JOHOR JAYA,JOHOR JAYA,0.0
7,16,JOHOR JAYA,JOHOR JAYA,0.0
7,56,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
7,25,JOHOR JAYA,JOHOR JAYA,0.0
7,10,JOHOR JAYA,JOHOR JAYA,0.0
7,131,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
7,134,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
8,56,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
8,59,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
8,34,JOHOR JAYA,JOHOR JAYA,0.0
8,16,JOHOR JAYA,JOHOR JAYA,0.0
8,26,JOHOR JAYA,JOHOR JAYA,0.0
8,28,JOHOR JAYA,JOHOR JAYA,0.0
9,143,JOHOR JAYA,STULANG,0.7192649599808704
9,361,JOHOR JAYA,LARKIN,0.7183682899220569
9,339,JOHOR JAYA,LARKIN,0.7183682899220569
9,50,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
9,91,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
9,81,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
9,20,JOHOR JAYA,JOHOR JAYA,0.0
9,152,JOHOR JAYA,STULANG,0.7192649599808704
10,243,JOHOR JAYA,TIRAM,0.32922015070119914
10,21,JOHOR JAYA,JOHOR JAYA,0.0
10,25,JOHOR JAYA,JOHOR JAYA,0.0
10,261,JOHOR JAYA,TIRAM,0.32922015070119914
10,240,JOHOR JAYA,TIRAM,0.32922015070119914
10,134,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
10,132,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
11,24,JOHOR JAYA,JOHOR JAYA,0.0
11,12,JOHOR JAYA,JOHOR JAYA,0.0
11,324,JOHOR JAYA,PERMAS,0.6275575689546616
11,29,JOHOR JAYA,JOHOR JAYA,0.0
12,155,JOHOR JAYA,STULANG,0.7192649599808704
12,324,JOHOR JAYA,PERMAS,0.6275575689546616
12,20,JOHOR JAYA,JOHOR JAYA,0.0
12,152,JOHOR JAYA,STULANG,0.7192649599808704
12,169,JOHOR JAYA,STULANG,0.7192649599808704
13,289,JOHOR JAYA,PERMAS,0.6275575689546616
13,331,JOHOR JAYA,PERMAS,0.6275575689546616
13,35,JOHOR JAYA,JOHOR JAYA,0.0
13,245,JOHOR JAYA,TIRAM,0.32922015070119914
13,14,JOHOR JAYA,JOHOR JAYA,0.0
13,286,JOHOR JAYA,PERMAS,0.6275575689546616
14,301,JOHOR JAYA,PERMAS,0.6275575689546616
14,289,JOHOR JAYA,PERMAS,0.6275575689546616
14,31,JOHOR JAYA,JOHOR JAYA,0.0
14,18,JOHOR JAYA,JOHOR JAYA,0.0
14,15,JOHOR JAYA,JOHOR JAYA,0.0
14,23,JOHOR JAYA,JOHOR JAYA,0.0
15,306,JOHOR JAYA,PERMAS,0.6275575689546616
15,31,JOHOR JAYA,JOHOR JAYA,0.0
15,36,JOHOR JAYA,JOHOR JAYA,0.0
15,23,JOHOR JAYA,JOHOR JAYA,0.0
15,33,JOHOR JAYA,JOHOR JAYA,0.0
16,56,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
16,26,JOHOR JAYA,JOHOR JAYA,0.0
16,25,JOHOR JAYA,JOHOR JAYA,0.0
17,27,JOHOR JAYA,JOHOR JAYA,0.0
17,243,JOHOR JAYA,TIRAM,0.32922015070119914
17,30,JOHOR JAYA,JOHOR JAYA,0.0
18,31,JOHOR JAYA,JOHOR JAYA,0.0
19,298,JOHOR JAYA,PERMAS,0.6275575689546616
19,326,JOHOR JAYA,PERMAS,0.6275575689546616
19,300,JOHOR JAYA,PERMAS,0.6275575689546616
19,325,JOHOR JAYA,PERMAS,0.6275575689546616
19,292,JOHOR JAYA,PERMAS,0.6275575689546616
19,32,JOHOR JAYA,JOHOR JAYA,0.0
20,22,JOHOR JAYA,JOHOR JAYA,0.0
20,81,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
20,152,JOHOR JAYA,STULANG,0.7192649599808704
21,25,JOHOR JAYA,JOHOR JAYA,0.0
21,26,JOHOR JAYA,JOHOR JAYA,0.0
22,34,JOHOR JAYA,JOHOR JAYA,0.0
22,81,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
23,301,JOHOR JAYA,PERMAS,0.6275575689546616
23,292,JOHOR JAYA,PERMAS,0.6275575689546616
