node1,node2,community1,community2,distance,weight,similarity,brand_similarity,node1_brand,node2_brand,node1_x,node1_y,node2_x,node2_y
1,35,2,3,0.25254334179426235,0.25254334179426235,3.808894916800568,1.0,99 Speedmart,MyNews,103.8132539,1.5224585,103.8154845,1.5273425
1,29,2,3,0.4499636823819439,0.4499636823819439,2.1740846903856674,1.0,99 Speedmart,7-Eleven,103.8132539,1.5224585,103.7966529,1.519703
1,5,2,3,0.25920036656281636,0.25920036656281636,3.7147051943803935,1.0,99 Speedmart,99 Speedmart,103.8132539,1.5224585,103.8094627,1.5321395
4,12,3,4,0.2581458593343333,0.2581458593343333,3.729313600002923,1.0,99 Speedmart,99 Speedmart,103.7864351,1.5218631,103.790387,1.515677
4,20,3,4,0.22569069521845936,0.22569069521845936,4.242848870521214,1.0,99 Speedmart,7-Eleven,103.7864351,1.5218631,103.785321,1.522289
4,22,3,4,0.13682405104224582,0.13682405104224582,6.810873238419699,1.0,99 Speedmart,Family Mart,103.7864351,1.5218631,103.7853192,1.5225334
11,12,3,4,0.20371969004448057,0.20371969004448057,4.679026063494076,1.0,99 Speedmart,99 Speedmart,103.7964105,1.5195836,103.790387,1.515677
11,324,3,2,0.7617531127328702,0.7617531127328702,1.2957511715876082,1.0,99 Speedmart,7-Eleven,103.7964105,1.5195836,103.8122485,1.4981442
12,324,4,2,1.1779474104915726,1.1779474104915726,0.8417881054062822,1.0,99 Speedmart,7-Eleven,103.790387,1.515677,103.8122485,1.4981442
13,35,2,3,0.36941483467271813,0.36941483467271813,2.635637588769022,1.0,99 Speedmart,MyNews,103.8248439,1.5195921,103.8154845,1.5273425
13,245,2,3,1.6719592781480517,1.6719592781480517,0.5945447151973061,1.0,99 Speedmart,99 Speedmart,103.8248439,1.5195921,103.8178105,1.552997
15,306,2,1,1.9395362922704635,1.9395362922704635,0.5129424899473827,1.0,99 Speedmart,99 Speedmart,103.8682861,1.5085005,103.9152222,1.51275
22,34,4,3,0.15846887099735774,0.15846887099735774,5.935814694310404,1.0,Family Mart,MyNews,103.7853192,1.5225334,103.7869622,1.5250148
29,286,3,2,1.0499578626214445,1.0499578626214445,0.9434337300228528,1.0,7-Eleven,99 Speedmart,103.7966529,1.519703,103.818485,1.5122329
29,324,3,2,1.0214255564104644,1.0214255564104644,0.9695319199576258,1.0,7-Eleven,7-Eleven,103.7966529,1.519703,103.8122485,1.4981442
34,81,3,4,0.820576517530378,0.820576517530378,1.2039829912039686,1.0,MyNews,KK Super Mart,103.7869622,1.5250148,103.7708878,1.5281696
36,306,2,1,0.7769948336880869,0.7769948336880869,1.2706563718007002,1.0,MyNews,99 Speedmart,103.8733596,1.5049877,103.9152222,1.51275
37,64,4,8,0.30193517214004634,0.30193517214004634,3.205794310206995,1.0,99 Speedmart,99 Speedmart,103.7656412,1.5405578,103.7572968,1.5448311
37,59,4,3,0.4600280101096227,0.4600280101096227,2.127532782071379,1.0,99 Speedmart,99 Speedmart,103.7656412,1.5405578,103.781037,1.547066
37,120,4,8,0.19173209984718903,0.19173209984718903,4.957069305070906,1.0,99 Speedmart,7-Eleven,103.7656412,1.5405578,103.762589,1.5451924
37,43,4,3,0.20073754284978942,0.20073754284978942,4.745238966332567,1.0,99 Speedmart,99 Speedmart,103.7656412,1.5405578,103.7652282,1.545215
40,133,8,3,0.33682689725218345,0.33682689725218345,2.8832827209271596,1.0,99 Speedmart,MyNews,103.7524823,1.564025,103.7584605,1.5661735
40,60,8,3,0.1489930618206019,0.1489930618206019,6.289582630519683,1.0,99 Speedmart,99 Speedmart,103.7524823,1.564025,103.7586687,1.5610008
43,120,3,8,0.15410736996762422,0.15410736996762422,6.093571545246774,1.0,99 Speedmart,7-Eleven,103.7652282,1.545215,103.762589,1.5451924
43,55,3,8,0.27638362000344097,0.27638362000344097,3.4918198184239193,1.0,99 Speedmart,99 Speedmart,103.7652282,1.545215,103.7604538,1.5518662
48,95,3,8,0.3881730889488038,0.3881730889488038,2.51147058340896,1.0,99 Speedmart,7-Eleven,103.7598251,1.5815474,103.7487577,1.5742784
48,139,3,8,0.18227749922796485,0.18227749922796485,5.200816549077313,1.0,99 Speedmart,MyNews,103.7598251,1.5815474,103.7598062,1.5828397
49,110,8,4,0.5335432717701957,0.5335432717701957,1.8397799254201592,1.0,99 Speedmart,7-Eleven,103.7441787,1.5412824,103.7503663,1.5205126
49,182,8,4,0.9098229527556357,0.9098229527556357,1.0871657388024154,1.0,99 Speedmart,7-Eleven,103.7441787,1.5412824,103.7307282,1.510479
52,77,3,8,0.15122307792186532,0.15122307792186532,6.202585962815057,1.0,99 Speedmart,KK Super Mart,103.7584292,1.574377,103.7567385,1.5726516
55,100,8,3,0.6054214546785966,0.6054214546785966,1.6249027270624634,1.0,99 Speedmart,7-Eleven,103.7604538,1.5518662,103.776459,1.56177
59,81,3,4,0.7945359501126601,0.7945359501126601,1.2429525366268206,1.0,99 Speedmart,KK Super Mart,103.781037,1.547066,103.7708878,1.5281696
60,79,3,8,0.13306136328105395,0.13306136328105395,6.990007483959388,1.0,99 Speedmart,KK Super Mart,103.7586687,1.5610008,103.7585829,1.5599941
60,122,3,8,0.12927075110266106,0.12927075110266106,7.180258540164452,1.0,99 Speedmart,7-Eleven,103.7586687,1.5610008,103.7585678,1.5602908
61,126,3,8,0.4418367866903651,0.4418367866903651,2.213188543865244,1.0,99 Speedmart,7-Eleven,103.7685347,1.5792464,103.7618485,1.5882637
61,139,3,8,0.3226486748483221,0.3226486748483221,3.006174608860144,1.0,99 Speedmart,MyNews,103.7685347,1.5792464,103.7598062,1.5828397
64,91,8,4,0.6297365535543049,0.6297365535543049,1.5631434446634502,1.0,99 Speedmart,Family Mart,103.7572968,1.5448311,103.7572752,1.5297573
70,273,8,3,1.957593944877402,1.957593944877402,0.5082349448185096,1.0,99 Speedmart,7-Eleven,103.7520249,1.6008388,103.793325,1.598635
73,196,8,5,1.4820135305517055,1.4820135305517055,0.6702352086781864,1.0,99 Speedmart,99 Speedmart,103.7119483,1.5562029,103.6741169,1.5533116
75,196,8,5,0.7113984206376431,0.7113984206376431,1.386196547417031,1.0,99 Speedmart,99 Speedmart,103.6785128,1.5969168,103.6741169,1.5533116
77,104,8,3,0.23623732060405112,0.23623732060405112,4.061122812524414,1.0,KK Super Mart,7-Eleven,103.7567385,1.5726516,103.7583049,1.5767881
77,108,8,3,0.20102197227376664,0.20102197227376664,4.738843018217377,1.0,KK Super Mart,7-Eleven,103.7567385,1.5726516,103.7591169,1.5725447
79,100,8,3,0.7042947043666798,0.7042947043666798,1.399982379663079,1.0,KK Super Mart,7-Eleven,103.7585829,1.5599941,103.776459,1.56177
85,110,8,4,0.5961744386701214,0.5961744386701214,1.6496901489180038,1.0,KK Super Mart,7-Eleven,103.7482126,1.5387735,103.7503663,1.5205126
85,91,8,4,0.4753876650717228,0.4753876650717228,2.060208925688781,1.0,KK Super Mart,Family Mart,103.7482126,1.5387735,103.7572752,1.5297573
86,108,8,3,0.19984065846278742,0.19984065846278742,4.7655206923463655,1.0,Family Mart,7-Eleven,103.7568278,1.5722185,103.7591169,1.5725447
86,133,8,3,0.2679273437698881,0.2679273437698881,3.5980626678746552,1.0,Family Mart,MyNews,103.7568278,1.5722185,103.7584605,1.5661735
95,104,8,3,0.3126173609819307,0.3126173609819307,3.099647201118877,1.0,7-Eleven,7-Eleven,103.7487577,1.5742784,103.7583049,1.5767881
116,182,8,4,1.6780393688138406,1.6780393688138406,0.5924032451344334,1.0,7-Eleven,7-Eleven,103.7431428,1.5422874,103.7307282,1.510479
116,183,8,4,1.111640833777587,1.111640833777587,0.8915509937633855,1.0,7-Eleven,7-Eleven,103.7431428,1.5422874,103.7217552,1.5120146
126,273,8,3,1.0281005447482239,1.0281005447482239,0.9632978279984772,1.0,7-Eleven,7-Eleven,103.7618485,1.5882637,103.793325,1.598635
148,287,4,2,0.8330387514347267,0.8330387514347267,1.1861850932690206,1.0,KK Super Mart,99 Speedmart,103.7844501,1.4932377,103.8121287,1.4973519
148,295,4,2,1.1738302233596198,1.1738302233596198,0.8447157204367332,1.0,KK Super Mart,99 Speedmart,103.7844501,1.4932377,103.8183992,1.4896712
155,287,4,2,0.7482651499491233,0.7482651499491233,1.3187998948218789,1.0,7-Eleven,99 Speedmart,103.7890748,1.4980024,103.8121287,1.4973519
155,324,4,2,1.0052679148063943,1.0052679148063943,0.9849616888471199,1.0,7-Eleven,7-Eleven,103.7890748,1.4980024,103.8122485,1.4981442
156,523,4,2,0.33916490262864485,0.33916490262864485,2.863976283044554,1.0,7-Eleven,7-Eleven,103.774611,1.4787306,103.7812028,1.469798
