community_pair,community1,community2,edge_count,total_weight,avg_weight,min_weight,boundary_strength,top_brand_combination,brand_diversity
3-8,3,8,20,8.177857495828214,0.4088928747914107,0.12927075110266106,48.91256667214522,"(('7-Eleven', '99 Speedmart'), 6)",8
5-7,5,7,22,9.909493719422557,0.4504315327010253,0.13876439995723325,48.8420512393446,"(('7-Eleven', '99 Speedmart'), 8)",7
4-7,4,7,18,6.6785350143296425,0.3710297230183135,0.1261373463908008,48.51363349968473,"(('7-Eleven', 'KK Super Mart'), 5)",11
4-8,4,8,16,9.7833990019782,0.6114624376236375,0.19173209984718903,26.16677495707135,"(('7-Eleven', '99 Speedmart'), 6)",6
3-4,3,4,9,3.2587271872393266,0.3620807985821474,0.13682405104224582,24.856330507562433,"(('99 Speedmart', '99 Speedmart'), 4)",6
7-8,7,8,9,3.751034265247847,0.41678158502753854,0.10302620175743873,21.594044274785634,"(('7-Eleven', '7-Eleven'), 2)",8
2-4,2,4,11,7.5673318225861745,0.6879392565987431,0.14782920226765794,15.98978382827775,"(('7-Eleven', '99 Speedmart'), 5)",4
5-8,5,8,9,5.675795002361928,0.6306438891513254,0.36783009430794467,14.271128532001704,"(('99 Speedmart', '99 Speedmart'), 2)",6
1-2,1,2,12,11.025096605865102,0.9187580504887585,0.3048036911568484,13.061110042645364,"(('99 Speedmart', '99 Speedmart'), 5)",4
0-6,0,6,9,6.3605420180251455,0.7067268908916828,0.2433674592727636,12.734763762341956,"(('99 Speedmart', 'MyNews'), 3)",4
5-6,5,6,10,7.963032671165859,0.7963032671165859,0.3318948601825022,12.558029601222156,"(('99 Speedmart', '99 Speedmart'), 5)",5
2-3,2,3,8,5.836218035324571,0.7295272544155714,0.25254334179426235,10.966005658566996,"(('7-Eleven', '99 Speedmart'), 3)",4
6-7,6,7,7,6.057531531361562,0.865361647337366,0.5982782484542885,8.08910358061086,"(('99 Speedmart', '99 Speedmart'), 2)",5
0-7,0,7,2,3.4071296908698923,1.7035648454349461,1.1235131669266691,1.174008729611563,"(('99 Speedmart', 'MyNews'), 1)",2
