node_id,store_id,brand,region,longitude,latitude,community_id,is_generator,is_boundary_node
0,0,99 Speedmart,JOHOR JAYA,103.7929195,1.528385,3,False,False
1,1,99 Speedmart,JOHOR JAYA,103.8132539,1.5224585,2,False,True
2,3,99 Speedmart,JOHOR JAYA,103.8101011,1.5378128,3,False,False
3,10,99 Speedmart,JOHOR JAYA,103.8059339,1.539972,3,False,False
4,12,99 Speedmart,JOHOR JAYA,103.7864351,1.5218631,3,False,True
5,15,99 Speedmart,JOHOR JAYA,103.8094627,1.5321395,3,False,True
6,20,KK Super Mart,JOHOR JAYA,103.806088,1.5401116,3,False,False
7,23,99 Speedmart,JOHOR JAYA,103.7951571,1.5442607,3,False,False
8,40,99 Speedmart,JOHOR JAYA,103.793081,1.5344827,3,False,False
9,47,99 Speedmart,JOHOR JAYA,103.762705,1.5168964,4,False,False
10,52,99 Speedmart,JOHOR JAYA,103.8044874,1.5445289,3,False,False
11,53,99 Speedmart,JOHOR JAYA,103.7964105,1.5195836,3,False,True
12,54,99 Speedmart,JOHOR JAYA,103.790387,1.515677,4,False,True
13,63,99 Speedmart,JOHOR JAYA,103.8248439,1.5195921,2,False,True
14,66,99 Speedmart,JOHOR JAYA,103.8607197,1.5076347,2,False,False
15,117,99 Speedmart,JOHOR JAYA,103.8682861,1.5085005,2,False,True
16,217,KK Super Mart,JOHOR JAYA,103.7937721,1.5425616,3,False,False
17,219,KK Super Mart,JOHOR JAYA,103.810877,1.5365487,3,False,False
18,241,KK Super Mart,JOHOR JAYA,103.8669115,1.5089696,2,False,False
19,255,KK Super Mart,JOHOR JAYA,103.874589,1.49344,2,False,False
20,276,7-Eleven,JOHOR JAYA,103.785321,1.522289,4,False,True
21,283,Family Mart,JOHOR JAYA,103.8045111,1.5404758,3,False,False
22,284,Family Mart,JOHOR JAYA,103.7853192,1.5225334,4,False,True
23,311,Family Mart,JOHOR JAYA,103.8728633,1.4962035,2,False,False
24,336,7-Eleven,JOHOR JAYA,103.791584,1.527309,3,False,False
25,348,7-Eleven,JOHOR JAYA,103.8032771,1.5419495,3,False,False
26,351,7-Eleven,JOHOR JAYA,103.79548,1.534668,3,False,False
27,362,7-Eleven,JOHOR JAYA,103.8131975,1.5318608,3,False,False
28,369,7-Eleven,JOHOR JAYA,103.7920644,1.5303658,3,False,False
29,370,7-Eleven,JOHOR JAYA,103.7966529,1.519703,3,False,True
30,374,7-Eleven,JOHOR JAYA,103.8105353,1.536507,3,False,False
31,389,7-Eleven,JOHOR JAYA,103.8676167,1.5087434,2,False,False
32,392,7-Eleven,JOHOR JAYA,103.8743404,1.4944015,2,False,False
33,465,7-Eleven,JOHOR JAYA,103.8734119,1.5048398,2,False,False
34,515,MyNews,JOHOR JAYA,103.7869622,1.5250148,3,False,True
35,517,MyNews,JOHOR JAYA,103.8154845,1.5273425,3,False,True
36,533,MyNews,JOHOR JAYA,103.8733596,1.5049877,2,False,True
37,2,99 Speedmart,PUTERI WANGSA,103.7656412,1.5405578,4,False,True
38,4,99 Speedmart,PUTERI WANGSA,103.7844612,1.5503321,3,False,False
39,5,99 Speedmart,PUTERI WANGSA,103.7956174,1.5539195,3,False,False
40,7,99 Speedmart,PUTERI WANGSA,103.7524823,1.564025,8,False,True
41,8,99 Speedmart,PUTERI WANGSA,103.7429584,1.5681893,8,False,False
42,11,99 Speedmart,PUTERI WANGSA,103.7390867,1.5582765,8,False,False
43,13,99 Speedmart,PUTERI WANGSA,103.7652282,1.545215,3,False,True
44,16,99 Speedmart,PUTERI WANGSA,103.766968,1.5739801,3,False,False
45,17,99 Speedmart,PUTERI WANGSA,103.7800615,1.5579181,3,False,False
46,18,99 Speedmart,PUTERI WANGSA,103.7895704,1.55474,3,False,False
